Project Title,Student Display Name,Organization Name,Mentors,
Win32 Network Driver with lwIP 1.4.1,zhu48,ReactOS,"AmineKhaldi, Art Yerkes",
Journal Rethink : Abhijit,AbrahmAB,Sugar Labs,"Walter Bender, Sam P.",
"KDE Edu, LabPlot- Project: theme manager for plots",kupy,KDE,asemke,
Scrapinghub - Scrapy: Support for Spiders in other Programming Languages,Aron Barreira Bordin,Python Software Foundation,"eLRuLL, ptremberth",
Environment model specifications for more bugs to reveal,Ilya Zakharov,The Linux Foundation,"nem, Alexey Khoroshilov",
MDAnalysis: Introducing capabilities for analysing umbrella sampling simulations,fiona,Python Software Foundation,"Jonathan Barnoud, mnmelo, Richard Gowers, Max Linke",
Adopt an unreleased Kazakh-English language pair,Aidana,The Apertium Project,"Aida Sundetova, Jonathan W",
Bring native support for clang on Gentoo,zlei,Gentoo Foundation,lu_zero,
PhenoPacket Scraper,satwik77,The Monarch Initiative,Dan Keith,
Recommendation Platform for Harvard Curriculum,beattymg,Berkman Center for Internet and Society,jessyurko,
Improve existing Android client of Hawkular,Anuj Garg,JBoss Community,"Heiko Rupp, Passos",
GSoC 2016 – Boxes- More SPICE features,Visarion Alexandru,GNOME,Zeeshan Ali,
Porting GuixSD to GNU/Hurd,Manolis,GNU Project,"Justus Winter, ludo",
Improve and enhance the Open Event system,Manan Wason,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Towards Support for Reverse Engineering of Neural Circuits and Non-Linear Dimensionality Reduction in Fovea and PyDSTool,mcneela,International Neuroinformatics Coordinating Facility,Robert Clewley,
Terrain Model Generation and Analysis,aishcat5,52°North Initiative for Geospatial Open Source Software GmbH,"CDanowski, Benno Schmidt",
General Graphics Improvements,Caio Souza,Scilab Enterprises,"Clément DAVID, Marcos Cardinot",
Arduino to Pulpino library porting,El-Mohr,lowRISC,atraber,
"Proposal for the ""Backend integration with OpenAPI"" project",hgabaldon,Eclipse Foundation,Maximilian Koegel,
Shailesh Tripathi- GSoC Project #9.2: Adding OpenCL support to GeNN,Shailesh Tripathi,International Neuroinformatics Coordinating Facility,Thomas Nowotny,
Implementation of the PCP instrumentation API in golang,Suyash,Performance Co-Pilot,"Owen Butler, Nathan Scott, lberk",
Project 3: Dynamic load-balancing for UGGrid,Maikel,Distributed and Unified Numerics Environment (DUNE),"Bernd Flemisch, Christian Engwer",
DIPY: Developing a new DIPY website with interactive features,ghoshbishakh,Python Software Foundation,"Eleftherios Garyfallidis, jchoude",
GAS package,Leopoldo Catania,R project for statistical computing,"kboudt, Dave",
[PCSA-Android] Collaborative Map of Risk Areas,Izabela Cardoso,"Systers, an Anita Borg Institute Community","Systers, an Anita Borg Institute Community, Rose Robinson",
Better Alias Analysis By Default,grievejia,The LLVM Compiler Infrastructure,"Hal Finkel, George Burgess IV",
Add MuPDF support to cups-filters for a lightweight mobile printing stack,Pranjal Bhor,The Linux Foundation,"Till Kamppeter, Robin Watts, James.Cloos@gmail.com",
Implementation of Endpoint Masquerading Set of Rules,kshi219,P2PSP.org,"Vicente González, jellysheep",
Yosys Tools: Automatic schematic generation for web browsers,Rishabh Rawat,Free and Open Source Silicion Foundation,Clifford,
AcousticBrainz Dataset Creation Toolkit,Daniele Scarano,MetaBrainz Foundation,Roman,
syslog-ng as a command line tool,kvch,The syslog-ng project,"Laszlo Budai, Tibor Benke",
Schedule TaskCluster Jobs in Treeherder,martianwars,Mozilla,armenzg,
Nautilus: Integrate file-roller and compressed file management,razvan,GNOME,"Cosimo Cecchi, Carlos Soriano",
GUI-based FTP client for KolibriOS,nisargshah95,KolibriOS,ashmew2,
Port search configuration module to Drupal 8,Joyce George,Drupal,cs_shadow,
Project: Kafka source in Java,Vithulan,The syslog-ng project,Viktor Juhasz,
HTML5 Player: Rendering + Physics,Teabeans,Catrobat,"Michael, Paul Schreiner",
ownCloud Demo Improvements,stp,ownCloud,Lukas Reschke (ownCloud),
Bluestore SMR Support,Shehbaz Jaffer,Ceph,Sage Weil,
Systers Features for Mailman 3,Aditi Gupta,"Systers, an Anita Borg Institute Community","yaseppochi, Ana Cutillas, Systers, an Anita Borg Institute Community",
Cloud Point Visualization for Liquid Galaxy,Asherat,Liquid Galaxy Project,"Julio Bondia Barceló, Andreu Ibanez",
Port Mailhandler to Drupal 8,Milos,Drupal,"Miro Dietiker, primsi",
MyHDL  : RISC-V Implementation,meetshah1995,Python Software Foundation,"Christopher, Oscar Diaz",
HBASE-15530  Snappy Compression and Data Block Encoding In RPC,Talat UYARER,Apache Software Foundation,saintack@gmail.com,
Managing and visualizing movement data with PostGIS and R,b.dukai,R project for statistical computing,"clementcalenge@gmail.com, davidbucklin@gmail.com, Mathieu Basille",
Ethernet Ring Protection Switching,Yuanxun,FreeBSD,gnn,
Modernising GNOME Keysign,Andrei Macavei,GNOME,Tobias Mueller,
Structure Learning from complete data for pgmpy,chrisittner,Python Software Foundation,ankurankan,
Tee muxer improvement,Ján Sebechlebský,FFmpeg,Cus,
Implementation of theorem prover based on Skeptik's data structures and Conflict Resolution algorithm,itegulov,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,"Katya, Bruno Woltzenlogel Paleo",
"Google Cardboard – Visual Odometry, SLAM",jrcapriles,OpenCV,Bence Magyar,
Android SDK Tools in Debian,cdesai,Debian Project,Hans-Christoph Steiner,
Repository and Services for it,kuchumovri,CCExtractor Development,"Anshul, Carlos Fernández Sanz",
Variable Segment Length Bitmap Compression,aingerson,Portland State University,David Chiu,
Foundations for DRAKVUF on ARM,Sergej Proskurin,The Honeynet Project,"webstergd, Steven Maresca, Tamas K Lengyel",
A GUI (tkinter) front end for pip,Upendra Kumar,Python Software Foundation,"Harsh Dattani, lorenzogotuned",
Visualization Support for JDart,Chao,Java Pathfinder Team,"Zvonimir, Falk Howar, Luckow",
Porting the CTAG face2|4 multichannel soundcard drivers to BeagleBoard-X15 (AM5728 SoC). Create library to make use of AM5728 DSPs (TI TMS320C66x).,henrix,BeagleBoard.org,"Vladimir Pantelic, Robert Manzke",
Enhancing mycqlbinlog Adding Support for GTIDs.,Becca Tucker,MariaDB,"byte, plinux",
Context based fuzzy clustering of malware,Kacper,The Honeynet Project,"Jurriaan Bremer, hgascon",
Vespucci - MapCSS parser,Vincent DORUT,OpenStreetMap,SimonPoole,
Project proposal,Katerina Koukiou,Libvirt,"Cédric Bosdonnat, Michal Privoznik",
Improving UI-Elements,Rishubh Jain,Scilab Enterprises,"Pierre-Aimé Agnel, Clément DAVID",
Enhanced Graph Plotting and General GUI Improvements in Prism,Omer,PRISM Model Checker,"Dave Parker, Joachim Klein",
Proposal for commitplease project in jQuery,all3fox,jQuery Foundation,Jörn Zaefferer,
Port catimages.py to pywikibot-core,AbdealiJK,Wikimedia Foundation,"John Vandenberg, DrTrigon",
Polly as an Analysis Pass in LLVM,Utpal,The LLVM Compiler Infrastructure,Johannes Doerfert,
DevOps tooling for Vert.x applications,ricardohmon,Vert.x,Clement Escoffier,
Airavata Monitoring Module,Siddharth Jain,Apache Software Foundation,"Marlon Pierce, Suresh Marru, Shameera",
[portal] Completion of Systers Portal Meetup App,payal97,"Systers, an Anita Borg Institute Community","Ana Balica, Systers, an Anita Borg Institute Community",
Improving Web Based SBGN Editor SBGNViz.js,Metin Can Siper,National Resource for Network Biology (NRNB),Ugur Dogrusoz,
Finding and analysing copy-pasted code with clang,Teemperor,The LLVM Compiler Infrastructure,Vassil,
Sugar on the Ground,Utkarsh Tiwari,Sugar Labs,"tony37, icarito",
Patient Flags Module Enhancements,Kanka Musa,OpenMRS,Pascal Brandt,
Project X: JavaScript Unit Tests: Project Proposal,Ruchiranga Wickramasinghe,Joomla!,"Ashan Fernando, Yves Hoppe",
Usability improvements for smle,sheff_146,52°North Initiative for Geospatial Open Source Software GmbH,"Carsten Hollmann, Simon Jirka, Christian Autermann",
Running Docker from Apache Taverna,nadeesh092,Apache Software Foundation,Alan R Williams,
Loklak apps/microservices to the open tweet platform loklak.net and IoT integrations using the loklak backend,Sudheesh Singanamalla,FOSSASIA,"MarioB, Orbiter",
Local Community Detection Search Using a Conceptual View,Omid Rezvani,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Qing,
Horizontal Map Wrapping In Libchamplain,stancium,GNOME,Jonas Danielsson,
Verifying Safety of NextGen Models,Jianfeng.Chen,Java Pathfinder Team,"Franco Raimondi, neharungta, Eric Mercer",
Centralized Service Configuration for Holmes,Ma-Shell,The Honeynet Project,"webstergd, Zachary Hanif",
Implementation of Recurrent Models and Examples in R for MXNet,Yuqi Li,R project for statistical computing,"qkou, Yuan Tang",
End-to-end Performance Visualization,vear91,Ceph,alimaredia,
DHISReport DHIS2 WebAPI,Pralay Ramteke,OpenMRS,Sri Maurya Kummamuru,
Moving the Tracing UI work forward (PHOENIX-2701) (PHOENIX-1119),Nishani,Apache Software Foundation,Mujtaba Chohan,
Teiid HDFS Translator/Connector,Tugba,JBoss Community,"@rareddy, shawkins",
Multi-view Reconstruction with Witness Camera for Blender,tianwei37,Blender Foundation,Sergey Sharybin,
Carsus - TARDIS support package for creating atomic datasets.,mishinma,TARDIS-SN,"Wolfgang, Luke Shingles",
Writing a name and port service for running components,Yash Sanap,Robocomp,"Luis J. Manso, JMartinez-Gomez, pbustos",
Sign and Verify Script,Varun Raval,Eclipse Foundation,christianpontesegger@gmail.com,
Porting activities in Qt version of GCompris.,Rajdeep Kaur,KDE,Johnny Jazeix,
Use Phabricator API to enhance KDE Reports,ali-mohamed,KDE,"bcooksley, TheMonster",
Categorical Axis,story645,NumFOCUS,"Michael Droettboom, tacaswell",
Port Google Login Authenticator To Drupal 8,therealssj,Drupal,Adam Bergstein,
Gabov Anton. Smart HTTP/2-based protocol for Infinispan,Anton,JBoss Community,ttarrant,
Implement Ext4fs support in ReadOnly mode,hrishikesh,The NetBSD Foundation,"crispytoast, drphilipn@gmail.com",
Rails: Support Auto-Completion in Web Console,Hiroyuki,Ruby,gsamokovarov,
Usage Dashboard for Classroom for GitHub,cyhsutw,GitHub,johndbritton,
Cassandra Storage Engine V2,Charles Muurmu,MariaDB,spetrunia,
Dataset and Experimentation Tools,KeonKim,mlpack: a scalable C++ machine learning library,Tham,
Android istSOS client,masterflorin,OSGeo - The Open Source Geospatial Foundation,"mirko, mantonovic",
Sharing MIT AppInventor projects among users to allow collaboration,Ana Ribeiro,MIT Media Lab,Aubrey,
"​Obscure Features, Locking/Unlocking of Access  Protection, EEPROMs and CFI",hatim,coreboot,"dhendrix, stefanct",
Visualisation for BLAST results,aniarya,Open Genome Informatics,"Yannick Wurm, priyam",
Building cortical network models in NeuroML2 using procedural and declarative programming approaches,Rokas,International Neuroinformatics Coordinating Facility,PGleeson,
Provide GTID support for MariaDB MHA,Charles Dirk,MariaDB,byte,
Drools Rules in Minecraft,Samuel Richardson,JBoss Community,Salaboy,
Tutorials for Cytoscape.js,joseph.stahl,National Resource for Network Biology (NRNB),Max Franz,
Multi-resolution Analysis of Pathology Data with Convolutional Neural Networks (CNNs),Nelson,"Biomedical Informatics, Emory University",cooperle,
Theano : Better handling of larger graphs and faster optimization phase during compilation,Ramana.S,Python Software Foundation,"Frédéric Bastien, Pascal Lamblin",
Implementation of “blueprint” Vert.x applications and detailed documents,sczyh30,Vert.x,"Clement Escoffier, Paulo Lopes",
Writing tutorials and implementing popular deep learning architectures in CloudCV,Deepali Jain,CloudCV,Harsh Agrawal,
JCache DataStore Implementation for Apache Gora,djkevincr,Apache Software Foundation,lewismc,
Expand the generic algebraic curve functionality in Sage,gjorgenson,Sage Mathematical Software System,"Benh, Miguel Marco",
Browser-based Arduino sensor data transfer using WebRTC and headphone jack,Richard Meister,Public Lab,"Jeffrey Warren, Diana",
Add support for lookup by repository ID throughout GitHub APIs,Dampir,GitHub,shiftkey,
voice to part tool and extended implode/explode tool,Rocketone,MuseScore,Jojo,
Xcos Automatic Layout II,sampig,Scilab Enterprises,"Paul, Marcos Cardinot",
Social Media Integration with CiviCRM,rajbdilip,CiviCRM,Joe Murray,
Gamification of submission system,Quora,MetaBrainz Foundation,"LordSputnik, Leftmost",
Extending the text module with deep Word-spotting CNN,Anguelos,OpenCV,Lluis Gomez,
Improve tracing in Phoenix  (Phoenix - 1121),Pranavan Theivendiram,Apache Software Foundation,Rajeshbabu Chintaguntla,
Improve elasticsearch-lua tests and builds,Dhaval Kapil,LabLua,Pablo Musa,
Open Event Organizer Server Feature Enhancement,SaptakS,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Prepare Erlang DBus for OTP,saa,Beam Community,jeanparpaillon@gmail.com,
Implementation of Module on Logic (Chapters 7 – 9) for 4th Edition for 4th Edition,anurag_rai,aimacode,ctjoreilly,
Implement APIs from various social media platforms and develop app components for open data social media analysis,Jigyasa Grover,FOSSASIA,Orbiter,
Incremental Rewrite of Git Bisect,Pranit Bauva,Git,"larsxschneider, Christian Couder",
Enhance visitor experience of OSEM,Ana,openSUSE,"ddemaio, Christian Bruckmayer, Henne",
Report Builder GUI for CiviCRM,Pranay Yadav,CiviCRM,"Brian Shaughnessy, Jaap Jansma",
Astropy: Bridge sherpa and astropy fitting,nocturnalastro,OpenAstronomy,"hamogu, Tom Aldcroft",
Cytoscape command line scripting enhancements,Ashish Tiwari,National Resource for Network Biology (NRNB),Scooter Morris,
Better Support for RISC-V Systems,Jonathan Neuschäfer,coreboot,"Harvey, Furquan",
OpenWrt - poWquty (poWer quality),Neez,Freifunk,Dr.-Ing Thomas Hühn,
Bark: Microblogging in Matrix,Half-Shot,Matrix.org,Kegan,
Kivy: Plyer,Kuldeep Singh,Python Software Foundation,"Akshay Arora, kived",
CI for Debian-Med,Canberkkoc,Debian Project,Nicolas Dandrimont,
Optional types for Matz's Ruby Interpreter,RB,Ruby,"Tony Arcieri, bai",
Add Varnam support into Indic Keyboard,malayaleecoder,Indic Project,"Navaneeth K N, Jishnu",
Automatic mappings extraction,Aditya Nambiar,dbpediaspotlight,"Nilesh, Dimitris Kontokostas, Chile",
Alternatives YaST Module,jyeray,openSUSE,"Josef Reidinger, ancorgs",
Project VIII: Browser Automated Tests for Joomla! CMS(covering Users and Content features),Prital Patel,Joomla!,"Niels Braczek, Yves Hoppe, Javier Gómez",
Project idea 1: Full-featured calendars,Manish Vishnoi,Sigmah,"Olivier Sarrat, spMohanty",
Result-aggregation server for the installation-test scripts,Prerit Garg,NumFOCUS,"piotrb, Raniere Silva",
Support bhyve as a Vagrant VM backend,jesa,FreeBSD,"Steve Wills, Michael Dexter",
VISUALIZATION OF TARGET-DISEASE RELATIONSHIPS IN DRUG DISCOVERY,dimitris_proios,BioJS,"Miguel Pignatelli, Luca Fumis",
[GSoC 2016] Support-core plugin improvements,Minudika Malshan,Jenkins Project,"Arnaud Héritier, schristou88",
A schema-based configuration system for OpenWrt,NeoRaider,Freifunk,"federicocapoano@gmail.com, Andreas Bräu",
Tools for Time Travel: Time Lapse Encryption,jethroFloyd,Berkman Center for Internet and Society,Jack,
Expand Nyx,Sambuddha Basu,The Tor Project,atagar,
Learning Multi-Domain Convolutional Neural Networks for Visual Tracking,Tyan Vladimir,OpenCV,Antonella Cascitelli,
Infrastructure for defining toolbars via .ui (Glade) files,eszka,LibreOffice,"Jan Holešovský, Samuel Mehrbrodt",
Browser-Based Offline Access,mbj36,Mifos Initiative,gauravsaini03,
Implementing op-based CRDTs in Lasp,g_unis,Beam Community,cmeiklejohn,
Automated Unit Testing,maditparis,"Systers, an Anita Borg Institute Community","Systers, an Anita Borg Institute Community",
Cloud services support for vlmc,lemourin,VideoLAN / VLMC Project,feepk,
kernelconfig,erdmanae,Gentoo Foundation,Rafael Martins,
Integrate DroidBOT into Cuckoo Sandbox,Tin Duong,The Honeynet Project,"Jurriaan Bremer, Hugo Gonzalez",
OpenHealth app development - Public health,avj,Stony Brook University Biomedical Informatics,Jonas Almeida,
Project Lumen,siaw23,Berkman Center for Internet and Society,Matt Zagaja,
Support ODF styles in Calc using Orcus,Jaskaran Veer Singh,LibreOffice,Markus Mohrhard,
Biological Graph Visualizations,Samyadeep Basu,Open Genome Informatics,spficklin,
We need to go deeper - GoogLeNet,nilay_jain,mlpack: a scalable C++ machine learning library,"Marcus Edel, Tham",
Fitz's Proposal on Android XWiki authenticator project,Fitz,XWiki,Thomas Mortagne,
Expanded Q & A System for Publiclab.org,ananyo,Public Lab,"Jeffrey Warren, Daniel Henry, lizbarry",
ScholarLY Annotations,jefferyshivers,GNU Project,Urs Liska,
GSoC 2016 Proposal for Blender—Sculpting Tools,Inlinebool,Blender Foundation,ideasman42,
BeagleScope,ZeekHuge,BeagleBoard.org,"SJLC, Abhishek Kumar, m_w, Hunyue Yau",
Image Features and Exposure Correction using Images.jl,mronian,The Julia Language,"Simon Danisch, timholy@gmail.com",
Dynamic Topic Models - Gensim,bhargavvader,NumFOCUS,"lev.konst, Radim, Devasena Inupakutika",
Eclipse CHE: Pair programming with Eclipse Che Cloud IDE,rnavagamuwa,Eclipse Foundation,sunix,
Improving and expanding the JavaScript XMPP Implementation,Abdelrhman Ahmed,Mozilla,"nhnt11, aleth",
Web-based syslog-ng configuration editor,PoOwAa,The syslog-ng project,Viktor Juhasz,
The Shogun Detox – GSoC 2016 Proposal,OXPHOS,Shogun Machine Learning Toolbox,"Heiko Strathmann, lambday, wiking",
Ansible and the Community (or automation improving innovation),jflory7,Fedora Project,"decause, puiterwijk",
Mercurial: Allow largefiles to be at a different location,liscju,Python Software Foundation,"Sean Farley, Mathiasdm",
Add MongoDB to Tajo Storage,Janaka,Apache Software Foundation,Jaehwa Jung,
Mesh Optimisation,mcadri,Computational Science and Engineering at TU Wien,"Florian Rudolf, JosefWeinbub",
Adding to SymEngine's Polynomial functionality and interfacing it with FLINT & Piranha,srajangarg,SymPy,"sumith1896, Ondřej Čertík, isuruf",
Enhanced Strategy Functionality for PRISM,Ganindu,PRISM Model Checker,"Dave Parker, Gethin",
Ahmia search engine for hidden services,zma,The Tor Project,Juha Nurmi,
Real Time Data Access and Visualisation tools.,Sudarshan Konge,OpenAstronomy,"jackireland, David PS",
EMF Forms goes AngularJS: A web-based editor for UI schemata,fraruca,Eclipse Foundation,Maximilian Koegel,
[ML]Visual(Deep) Neural Network Builder,Lakini Senanayaka,WSO2,"Upul, Nirmal Fernando",
Implementing legacy SAX  parser Interface with FastParser,Azorpid,LibreOffice,"Noel Grandin, Michael Meeks",
MIDI Sequence Recording and Playback,anirudh3,Mixxx DJ Software,illuusio,
Recommender Systems (Add-on),Salva Carrión,Orange – Data Mining Fruitful & Fun,"tomazc, martinstrazar@gmail.com",
"[Django-project] Kunal Sharma, Perago Proposal",Kunal Sharma,Peragro,sueastside,
Dynamic Network Analysis in Rogas,ShallYan,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,"Minjian Liu, Qing",
Building Survival Models from Genomic Data with Google TensorFlow,coco90417,"Biomedical Informatics, Emory University","cooperle, safoorayousefi1192@gmail.com",
Flag Algebras in Sage,srobik,Sage Mathematical Software System,Dima Pasechnik,
Extending the online tutorial of Céu with Emscripten and SDL,VicentiuM,LabLua,Francisco,
Authentication Mechanisms for LightMelody,poff,Copyleft Games,Arc Riley,
Adding SCSI passthrough to CTL,Suraj Ponugoti,FreeBSD,Edward Tomasz Napierala,
Rewrite the sTeam web interface,akhilHector,FOSSASIA,"Martin Bähr, Trilok Tourani",
Kdenlive: Windows and OSX Port,joejoshw,KDE,vpinon,
Bug Tracker Support,Sanchit Kapoor,OWASP Foundation,"thc202, kingthorin, Simon Bennetts",
Mit App Inventor Android Research Tasks,saila,MIT Media Lab,Hal Abelson,
Support for Complex Semidefinite Programming within Convex.jl,AYUSH PANDEY,The Julia Language,"Madeleine, Dj",
"Improving voice, video and chat communication with free software",JonathanJson,Debian Project,amonsalvesalazar@gmail.com,
Fineract: Implement integration for Unified Payments Interface,meta-coder,Apache Software Foundation,Mage,
Work on nftables missing features and iptables to nftables translation tool,pablombg,Netfilter project,Regit,
Add Mail Account Management & Alias Support & Signature Management to the OwnCloud Mail Application,Tahaa Karim,ownCloud,"Christoph Wurst, Gomez",
Approximate Nearest Neighbor Search: Implementation of Multiprobe LSH and LSH Tuning,mentekid,mlpack: a scalable C++ machine learning library,Ryan Curtin,
"Java support for Deviser, a code generation system for SBML libraries",Hovakim Grabski,National Resource for Network Biology (NRNB),Frank T. Bergmann,
Re-design of GTE in Javascript,Harkirat,Gambit - Software Tools for Game Theory,"rahulsavani, alfongj, bvonstengel",
Python Interface for VLFeat Library,machinex,Portland State University,Simon N.,
Web-based administration & process management for PyWPS,ruda,OSGeo - The Open Source Geospatial Foundation,"Jachym Cepicky, Jonas Eberle",
The Torprinter project,SuperOctopus,The Tor Project,GeKo,
GSoC Proposal : Improve Pkgin,Youri Mouton,The NetBSD Foundation,"iMil, jaapb, Jeremy C. Reed",
ON-THE-WIRE ENCRYPTION SUPPORT,Zhao Junwang,Ceph,"haomaiwang@gmail.com, Sage Weil",
Implementation of Coroutine-­Based Utilities,Jess Smith,Scala,Aleksandar Prokopec,
Private medical data comparison functions for similar patient matching,Mathu,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,"Peter Christen, Dinusha Vatsalan",
A backend agnostic GraphLayout.jl,abhijithanilkumar,The Julia Language,"Simon Danisch, Shashi Gowda",
Liberty Eiffel Eclipse Plugin Project,Imhotep,GNU Project,Raphael Mack,
jQuery Learning Center,connor,jQuery Foundation,"Aurelio De Rosa, Anne-Gaelle Colom",
eBook Content Export,Jensen Jiang,Plone Foundation,Bernd Kulawik,
Ceylon Markdown,rohitmohan96,JBoss Community,Stephane Epardaud,
Open-Event-Webapp,Aayush Arora,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Split debug symbols for pkgsrc builds,leot,The NetBSD Foundation,"David Maxwell, Jörg Sonnenberger, Cryo, wiz, Riastradh",
Sharable Plugin System for qaul.net – Mesh Network Communication App,Anu V,Freifunk,math,
Unique Index for BLOBs And Adaptive Hashing for Generated Hash,Sachin Setiya,MariaDB,serg,
Developer Horizon and other extensions,Harsh Daftary,Debian Project,"bzed, irl",
Sessions +,Josephine,TEAMMATES @ National University of Singapore,yj-soh,
Stanislav Shterev IDI UIO Responsive Design Proposal,Stan Shterev,Inclusive Design Institute,"Jon H, Cindy Qi Li",
Genomic Tube Map,WolfgangB,"Genes, Genomes and Variation",Daniel Zerbino,
CLTK Latin/Greek Backoff Lemmatizer,diyclassics,Classical Language Toolkit,"James Tauber, Kyle P. Johnson",
Graphical workflow editor for eHive using Blockly,Anuj Khandelwal,"Genes, Genomes and Variation",Matthieu Muffato,
Idea 1: Javascript/WebGL Component For Interactive Visualization Of Large-Scale Network Graphs.,Znbiz,Computational Biology @ University of Nebraska-Lincoln,"David Tichy, Tom Helikar",
Strace Fault Injection Proposal,Naam,strace,Gabriel Laskar,
Automated release generation for syslog-ng,black-perl,The syslog-ng project,"Laszlo Budai, László Várady",
APT↔dpkg communication rework,DonKult,Debian Project,michaelvogt@gmail.com,
Major Improvements to the factorAnalytics package,Acharya,R project for statistical computing,"Eric Zivot, Brian G. Peterson, Rohit Arora, Peter Carl, martinrd",
Manage workflow for Software/Data Carpentry instructor training,Chris Medrela,NumFOCUS,"Greg Wilson, piotrb",
ITALIAN MARS SOCIETY: IMPLEMENTATION OF AN INTERACTIVE HEADS UP DISPLAY FOR OCULUS RIFT FOR THE V-ERAS SIMULATION ENVIRONMENT,aakash26,Python Software Foundation,"Antonio, astratto, Ambar Mehrotra",
Improve the Open Event Organizer Server and implement missing features,Niranjan R,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
ROS Interfrace for Impedance/Force Control,rkojcev,Open Source Robotics Foundation,shaunedwards@gmail.com,
WikiToLearn Rating,Abhimanyu Singh Shekhawat,KDE,"alessandrotundo94@gmail.com, Davide Valsecchi (@valsdav)",
Inclusion of Functions from “Measuring Market Risk” into PerformanceAnalytics,d_acharya,R project for statistical computing,"paulteetor, Brian G. Peterson, Peter Carl",
Add educational activities to GCompris (In Qt Quick),Pulkit_Gupta,KDE,Bruno Coudoin,
Improvement of the TARDIS configuration system,ftsamis,TARDIS-SN,"Wolfgang, Vytautas Jančauskas",
Add softproofing and wide-gamut colour selector to Krita,Wolthera,KDE,"Dmitry Kazako, Boudewijn Rempt",
Plug the core-apitrace support for performance counters to qapitrace,trtt,X.Org Foundation,Martin Peres (mupuf),
Science for D - a non-uniform RNG,Greenify,D Foundation,Ilya Yaroshenko,
Proposal for project : Preset List Settings Template(aka Styles),Harshit Bansal,GNU Mailman,"Barry, Terri O, maxking, Florian Fuchs",
Eclipse EASE Jupyter Kernels,Martin Kloesch,Eclipse Foundation,christianpontesegger@gmail.com,
Internationalization of Publiclab.org,jiteshjha,Public Lab,"Jeffrey Warren, lizbarry",
PowerUp Proposal,Aanchal Somani,"Systers, an Anita Borg Institute Community","iogburu, Systers, an Anita Borg Institute Community, chhavip",
Standalone NUI extraction and visual NUI editor,rzats,MovingBlocks,"Cervator, Florian",
Abstracting device address allocation,Tomasz Flendrich,Libvirt,Martin Kletzander,
Information Visualizations using Datascope,Stefan Florea,"Biomedical Informatics, Emory University",Ganesh Iyer,
Integrate the Cling backend into PyPy/cppyy,aditi137,CERN SFT,wlav,
Extending animation features in Krita,Jouni Pentikäinen,KDE,"Boudewijn Rempt, animtim",
Migrating jQuery to the Hammer.js Mobile Gesture Event System,S'Out,jQuery Foundation,"arschmitz, Gabriel Schulhof",
Online Geometry Viewer,gjeet,BRL-CAD,Ishwerdas,
Knitting Machines,Kirstin,FOSSASIA,"MarioB, c.obersteiner",
Large scale image viewing/editing module in 3D Slicer,Naiyun Zhou,Stony Brook University Biomedical Informatics,Yi Gao,
Provide a cryptographic implementation for Qaul.net,spacekookie,Freifunk,math,
Developing MongoDB interface for Apache Tajo,Hoon,Apache Software Foundation,Jihoon Son,
Idea #1: Privileged Entity Support to Write Powerful External Components for ejabberd,AnnaMuharram,Beam Community,aleksey,
Implementation of a HDF5 export/import to EEGBase,ipsita,International Neuroinformatics Coordinating Facility,Petr Ježek,
Docker Repository Adapter for Package Drone,pubudu,Eclipse Foundation,Jens Reimann,
FHIR Swagger Document generator and enhancements,Rasanjana,OpenMRS,"Harsha Kumara, Sashrika",
Adding new templates to   BuildmLearn Toolkit Android app,Anupam Das,BuildmLearn,Pankaj,
Text Mining Add On,Alexey,Orange – Data Mining Fruitful & Fun,"Ajda, Nikicc",
R/Privacy: Raising the quality and trust of data privacy software,probhonjon,Computational Science and Engineering at TU Wien,matthiastempl@gmail.com,
Rperform: performance analysis for R package code,akashtndn,R project for statistical computing,"Toby Dylan Hocking, Joshua Ulrich",
Nuxeo repository and Authority connector for Apache ManifoldCF,Davarresc,Apache Software Foundation,Antonio David Perez Morales,
Dynamic structured light in openCV,Ambroise,OpenCV,Delia Passalacqua,
Improve SMP Scheduling with Arbitrary Processor Affinites,darnir,RTEMS Project,"Joel Sherrill, Sebastian Huber, Kuan, Cyrille Artho",
Distributed Intermediate Tree Elimination in Lasp,Borja,Beam Community,zeeshanlakhani,
YAPDNS Dennis Parchkov,garou6666,The Honeynet Project,"Pietro Delsante, Fedele Mantuano, Andrea De Pasquale",
Bringing pyModis to the web through ZOO-Project,Chingchai Humhong,OSGeo - The Open Source Geospatial Foundation,"gfenoy@gmail.com, Luca Delucchi",
Lightweight chat plugin for the JBrowse genome browser,Pubudu Dodangoda,Open Genome Informatics,Ian Holmes,
